token	label	director	company
['Jeffrey', 'P.', 'Bezos', ',', 'age', '55', ',', 'has', 'been', 'Chairman', 'of', 'the', 'Board', 'since', 'founding', 'the', 'Company', 'in', '1994', 'and', 'Chief', 'Executive', 'Officer', 'since', 'May', '1996', '.']	['B-PERSON', 'I-PERSON', 'I-PERSON', 'O', 'B-DATE', 'I-DATE', 'O', 'O', 'O', 'B-TITLE', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'B-ORG', 'O', 'B-DATE', 'O', 'B-TITLE', 'I-TITLE', 'I-TITLE', 'O', 'B-DATE', 'I-DATE', 'O']	1.0	AMAZON.COM INC
['Mr.', 'Bezos', 'served', 'as', 'President', 'from', 'founding', 'until', 'June', '1999', 'and', 'again', 'from', 'October', '2000', 'to', 'the', 'present', '.']	['O', 'B-PERSON', 'O', 'O', 'B-TITLE', 'O', 'O', 'O', 'B-DATE', 'I-DATE', 'O', 'O', 'O', 'B-DATE', 'I-DATE', 'O', 'O', 'O', 'O']	1.0	AMAZON.COM INC
['Mr.', 'Bezos', 'individual', 'qualifications', 'and', 'skills', 'as', 'a', 'director', 'include', 'his', 'customer-focused', 'point', 'of', 'view', ',', 'his', 'willingness', 'to', 'encourage', 'invention', ',', 'his', 'long-term', 'perspective', ',', 'and', 'his', 'on-going', 'contributions', 'as', 'founder', 'and', 'CEO', '.']	['O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'B-TITLE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-TITLE', 'O', 'B-TITLE', 'O']	1.0	AMAZON.COM INC
['Rosalind', 'G.', 'Brewer', ',', 'age', '56', ',', 'has', 'been', 'a', 'director', 'since', 'February', '2019', '.']	['B-PERSON', 'I-PERSON', 'I-PERSON', 'O', 'B-DATE', 'I-DATE', 'O', 'O', 'O', 'O', 'B-TITLE', 'O', 'B-DATE', 'I-DATE', 'O']	2.0	AMAZON.COM INC
['Ms.', 'Brewer', 'has', 'been', 'the', 'Group', 'President', ',', 'Americas', 'and', 'Chief', 'Operating', 'Officer', 'of', 'Starbucks', 'Corporation', ',', 'a', 'roaster', ',', 'marketer', ',', 'and', 'retailer', 'of', 'specialty', 'coffee', ',', 'since', 'October', '2017', ',', 'where', 'she', 'has', 'also', 'served', 'as', 'a', 'director', 'since', 'March', '2017', '.']	['O', 'B-PERSON', 'O', 'O', 'O', 'B-TITLE', 'I-TITLE', 'I-TITLE', 'I-TITLE', 'O', 'B-TITLE', 'I-TITLE', 'I-TITLE', 'O', 'B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'I-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-TITLE', 'O', 'B-DATE', 'I-DATE', 'O']	2.0	AMAZON.COM INC
['From', 'February', '2012', 'to', 'February', '2017', ',', 'she', 'was', 'President', 'and', 'Chief', 'Executive', 'Officer', 'of', 'Sam', 's', 'Club', ',', 'a', 'membership-only', 'retail', 'warehouse', 'club', 'and', 'a', 'division', 'of', 'Walmart', 'Inc.', ',', 'and', 'from', '2006', 'to', 'January', '2012', ',', 'she', 'served', 'in', 'numerous', 'leadership', 'positions', 'at', 'various', 'regional', 'business', 'units', 'for', 'Walmart', '.']	['O', 'B-DATE', 'I-DATE', 'I-DATE', 'I-DATE', 'I-DATE', 'O', 'O', 'O', 'B-TITLE', 'O', 'B-TITLE', 'I-TITLE', 'I-TITLE', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'O', 'O', 'B-DATE', 'I-DATE', 'I-DATE', 'I-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O']	2.0	AMAZON.COM INC
['She', 'served', 'as', 'a', 'director', 'of', 'Lockheed', 'Martin', 'Corporation', 'from', 'April', '2011', 'to', 'October', '2017', '.']	['O', 'O', 'O', 'O', 'B-TITLE', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'B-DATE', 'I-DATE', 'I-DATE', 'I-DATE', 'I-DATE', 'O']	2.0	AMAZON.COM INC
['Ms.', 'Brewer', 's', 'individual', 'qualifications', 'and', 'skills', 'as', 'a', 'director', 'include', 'her', 'leadership', 'and', 'operations', 'experience', 'as', 'a', 'senior', 'executive', 'at', 'large', ',', 'multinational', 'corporations', ',', 'through', 'which', 'she', 'gained', 'experience', 'with', 'regulatory', 'and', 'compliance', 'requirements', 'applicable', 'to', 'public', 'companies', ',', 'as', 'well', 'as', 'her', 'customer', 'experience', 'skills', '.']	['O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-TITLE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-TITLE', 'I-TITLE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	2.0	AMAZON.COM INC
['Jamie', 'S.', 'Gorelick', ',', 'age', '68', ',', 'has', 'been', 'a', 'director', 'since', 'February', '2012', '.']	['B-PERSON', 'I-PERSON', 'I-PERSON', 'O', 'B-DATE', 'I-DATE', 'O', 'O', 'O', 'O', 'B-TITLE', 'O', 'B-DATE', 'I-DATE', 'O']	3.0	AMAZON.COM INC
['Ms.', 'Gorelick', 'has', 'been', 'a', 'partner', 'with', 'the', 'law', 'firm', 'Wilmer', 'Cutler', 'Pickering', 'Hale', 'and', 'Dorr', 'LLP', 'since', 'July', '2003', '.']	['O', 'B-PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'B-DATE', 'I-DATE', 'O']	3.0	AMAZON.COM INC
