token	company	director	label
Jeffrey	AMAZON.COM INC	1.0	B-PERSON
P.	AMAZON.COM INC	1.0	I-PERSON
Bezos	AMAZON.COM INC	1.0	I-PERSON
,	AMAZON.COM INC	1.0	O
age	AMAZON.COM INC	1.0	B-DATE
55	AMAZON.COM INC	1.0	I-DATE
,	AMAZON.COM INC	1.0	O
has	AMAZON.COM INC	1.0	O
been	AMAZON.COM INC	1.0	O
Chairman	AMAZON.COM INC	1.0	B-TITLE
of	AMAZON.COM INC	1.0	O
the	AMAZON.COM INC	1.0	O
Board	AMAZON.COM INC	1.0	B-ORG
since	AMAZON.COM INC	1.0	O
founding	AMAZON.COM INC	1.0	O
the	AMAZON.COM INC	1.0	O
Company	AMAZON.COM INC	1.0	B-ORG
in	AMAZON.COM INC	1.0	O
1994	AMAZON.COM INC	1.0	B-DATE
and	AMAZON.COM INC	1.0	O
Chief	AMAZON.COM INC	1.0	B-TITLE
Executive	AMAZON.COM INC	1.0	I-TITLE
Officer	AMAZON.COM INC	1.0	I-TITLE
since	AMAZON.COM INC	1.0	O
May	AMAZON.COM INC	1.0	B-DATE
1996	AMAZON.COM INC	1.0	I-DATE
.	AMAZON.COM INC	1.0	O
			
Mr.	AMAZON.COM INC	1.0	O
Bezos	AMAZON.COM INC	1.0	B-PERSON
served	AMAZON.COM INC	1.0	O
as	AMAZON.COM INC	1.0	O
President	AMAZON.COM INC	1.0	B-TITLE
from	AMAZON.COM INC	1.0	O
founding	AMAZON.COM INC	1.0	O
until	AMAZON.COM INC	1.0	O
June	AMAZON.COM INC	1.0	B-DATE
1999	AMAZON.COM INC	1.0	I-DATE
and	AMAZON.COM INC	1.0	O
again	AMAZON.COM INC	1.0	O
from	AMAZON.COM INC	1.0	O
October	AMAZON.COM INC	1.0	B-DATE
2000	AMAZON.COM INC	1.0	I-DATE
to	AMAZON.COM INC	1.0	O
the	AMAZON.COM INC	1.0	O
present	AMAZON.COM INC	1.0	O
.	AMAZON.COM INC	1.0	O
			
Mr.	AMAZON.COM INC	1.0	O
Bezos	AMAZON.COM INC	1.0	B-PERSON
	AMAZON.COM INC	1.0	O
individual	AMAZON.COM INC	1.0	O
qualifications	AMAZON.COM INC	1.0	O
and	AMAZON.COM INC	1.0	O
skills	AMAZON.COM INC	1.0	O
as	AMAZON.COM INC	1.0	O
a	AMAZON.COM INC	1.0	O
director	AMAZON.COM INC	1.0	B-TITLE
include	AMAZON.COM INC	1.0	O
his	AMAZON.COM INC	1.0	O
customer-focused	AMAZON.COM INC	1.0	O
point	AMAZON.COM INC	1.0	O
of	AMAZON.COM INC	1.0	O
view	AMAZON.COM INC	1.0	O
,	AMAZON.COM INC	1.0	O
his	AMAZON.COM INC	1.0	O
willingness	AMAZON.COM INC	1.0	O
to	AMAZON.COM INC	1.0	O
encourage	AMAZON.COM INC	1.0	O
invention	AMAZON.COM INC	1.0	O
,	AMAZON.COM INC	1.0	O
his	AMAZON.COM INC	1.0	O
long-term	AMAZON.COM INC	1.0	O
perspective	AMAZON.COM INC	1.0	O
,	AMAZON.COM INC	1.0	O
and	AMAZON.COM INC	1.0	O
his	AMAZON.COM INC	1.0	O
on-going	AMAZON.COM INC	1.0	O
contributions	AMAZON.COM INC	1.0	O
as	AMAZON.COM INC	1.0	O
founder	AMAZON.COM INC	1.0	B-TITLE
and	AMAZON.COM INC	1.0	O
CEO	AMAZON.COM INC	1.0	B-TITLE
.	AMAZON.COM INC	1.0	O
			
Rosalind	AMAZON.COM INC	2.0	B-PERSON
G.	AMAZON.COM INC	2.0	I-PERSON
Brewer	AMAZON.COM INC	2.0	I-PERSON
,	AMAZON.COM INC	2.0	O
age	AMAZON.COM INC	2.0	B-DATE
56	AMAZON.COM INC	2.0	I-DATE
,	AMAZON.COM INC	2.0	O
has	AMAZON.COM INC	2.0	O
been	AMAZON.COM INC	2.0	O
a	AMAZON.COM INC	2.0	O
director	AMAZON.COM INC	2.0	B-TITLE
since	AMAZON.COM INC	2.0	O
February	AMAZON.COM INC	2.0	B-DATE
2019	AMAZON.COM INC	2.0	I-DATE
.	AMAZON.COM INC	2.0	O
			
Ms.	AMAZON.COM INC	2.0	O
Brewer	AMAZON.COM INC	2.0	B-PERSON
has	AMAZON.COM INC	2.0	O
been	AMAZON.COM INC	2.0	O
the	AMAZON.COM INC	2.0	O
Group	AMAZON.COM INC	2.0	B-TITLE
President	AMAZON.COM INC	2.0	I-TITLE
,	AMAZON.COM INC	2.0	I-TITLE
Americas	AMAZON.COM INC	2.0	I-TITLE
and	AMAZON.COM INC	2.0	O
Chief	AMAZON.COM INC	2.0	B-TITLE
Operating	AMAZON.COM INC	2.0	I-TITLE
Officer	AMAZON.COM INC	2.0	I-TITLE
of	AMAZON.COM INC	2.0	O
Starbucks	AMAZON.COM INC	2.0	B-ORG
Corporation	AMAZON.COM INC	2.0	I-ORG
,	AMAZON.COM INC	2.0	O
a	AMAZON.COM INC	2.0	O
roaster	AMAZON.COM INC	2.0	O
,	AMAZON.COM INC	2.0	O
marketer	AMAZON.COM INC	2.0	O
,	AMAZON.COM INC	2.0	O
and	AMAZON.COM INC	2.0	O
retailer	AMAZON.COM INC	2.0	O
of	AMAZON.COM INC	2.0	O
specialty	AMAZON.COM INC	2.0	O
coffee	AMAZON.COM INC	2.0	O
,	AMAZON.COM INC	2.0	O
since	AMAZON.COM INC	2.0	O
October	AMAZON.COM INC	2.0	B-DATE
2017	AMAZON.COM INC	2.0	I-DATE
,	AMAZON.COM INC	2.0	O
where	AMAZON.COM INC	2.0	O
she	AMAZON.COM INC	2.0	O
has	AMAZON.COM INC	2.0	O
also	AMAZON.COM INC	2.0	O
served	AMAZON.COM INC	2.0	O
as	AMAZON.COM INC	2.0	O
a	AMAZON.COM INC	2.0	O
director	AMAZON.COM INC	2.0	B-TITLE
since	AMAZON.COM INC	2.0	O
March	AMAZON.COM INC	2.0	B-DATE
2017	AMAZON.COM INC	2.0	I-DATE
.	AMAZON.COM INC	2.0	O
			
From	AMAZON.COM INC	2.0	O
February	AMAZON.COM INC	2.0	B-DATE
2012	AMAZON.COM INC	2.0	I-DATE
to	AMAZON.COM INC	2.0	I-DATE
February	AMAZON.COM INC	2.0	I-DATE
2017	AMAZON.COM INC	2.0	I-DATE
,	AMAZON.COM INC	2.0	O
she	AMAZON.COM INC	2.0	O
was	AMAZON.COM INC	2.0	O
President	AMAZON.COM INC	2.0	B-TITLE
and	AMAZON.COM INC	2.0	O
Chief	AMAZON.COM INC	2.0	B-TITLE
Executive	AMAZON.COM INC	2.0	I-TITLE
Officer	AMAZON.COM INC	2.0	I-TITLE
of	AMAZON.COM INC	2.0	O
Sam	AMAZON.COM INC	2.0	B-ORG
s	AMAZON.COM INC	2.0	I-ORG
Club	AMAZON.COM INC	2.0	I-ORG
,	AMAZON.COM INC	2.0	O
a	AMAZON.COM INC	2.0	O
membership-only	AMAZON.COM INC	2.0	O
retail	AMAZON.COM INC	2.0	O
warehouse	AMAZON.COM INC	2.0	O
club	AMAZON.COM INC	2.0	O
and	AMAZON.COM INC	2.0	O
a	AMAZON.COM INC	2.0	O
division	AMAZON.COM INC	2.0	O
of	AMAZON.COM INC	2.0	O
Walmart	AMAZON.COM INC	2.0	B-ORG
Inc.	AMAZON.COM INC	2.0	I-ORG
,	AMAZON.COM INC	2.0	O
and	AMAZON.COM INC	2.0	O
from	AMAZON.COM INC	2.0	O
2006	AMAZON.COM INC	2.0	B-DATE
to	AMAZON.COM INC	2.0	I-DATE
January	AMAZON.COM INC	2.0	I-DATE
2012	AMAZON.COM INC	2.0	I-DATE
,	AMAZON.COM INC	2.0	O
she	AMAZON.COM INC	2.0	O
served	AMAZON.COM INC	2.0	O
in	AMAZON.COM INC	2.0	O
numerous	AMAZON.COM INC	2.0	O
leadership	AMAZON.COM INC	2.0	O
positions	AMAZON.COM INC	2.0	O
at	AMAZON.COM INC	2.0	O
various	AMAZON.COM INC	2.0	O
regional	AMAZON.COM INC	2.0	O
business	AMAZON.COM INC	2.0	O
units	AMAZON.COM INC	2.0	O
for	AMAZON.COM INC	2.0	O
Walmart	AMAZON.COM INC	2.0	B-ORG
.	AMAZON.COM INC	2.0	O
			
She	AMAZON.COM INC	2.0	O
served	AMAZON.COM INC	2.0	O
as	AMAZON.COM INC	2.0	O
a	AMAZON.COM INC	2.0	O
director	AMAZON.COM INC	2.0	B-TITLE
of	AMAZON.COM INC	2.0	O
Lockheed	AMAZON.COM INC	2.0	B-ORG
Martin	AMAZON.COM INC	2.0	I-ORG
Corporation	AMAZON.COM INC	2.0	I-ORG
from	AMAZON.COM INC	2.0	O
April	AMAZON.COM INC	2.0	B-DATE
2011	AMAZON.COM INC	2.0	I-DATE
to	AMAZON.COM INC	2.0	I-DATE
October	AMAZON.COM INC	2.0	I-DATE
2017	AMAZON.COM INC	2.0	I-DATE
.	AMAZON.COM INC	2.0	O
			
Ms.	AMAZON.COM INC	2.0	O
Brewer	AMAZON.COM INC	2.0	B-PERSON
s	AMAZON.COM INC	2.0	O
individual	AMAZON.COM INC	2.0	O
qualifications	AMAZON.COM INC	2.0	O
and	AMAZON.COM INC	2.0	O
skills	AMAZON.COM INC	2.0	O
as	AMAZON.COM INC	2.0	O
a	AMAZON.COM INC	2.0	O
director	AMAZON.COM INC	2.0	B-TITLE
include	AMAZON.COM INC	2.0	O
her	AMAZON.COM INC	2.0	O
leadership	AMAZON.COM INC	2.0	O
and	AMAZON.COM INC	2.0	O
operations	AMAZON.COM INC	2.0	O
experience	AMAZON.COM INC	2.0	O
as	AMAZON.COM INC	2.0	O
a	AMAZON.COM INC	2.0	O
senior	AMAZON.COM INC	2.0	B-TITLE
executive	AMAZON.COM INC	2.0	I-TITLE
at	AMAZON.COM INC	2.0	O
large	AMAZON.COM INC	2.0	O
,	AMAZON.COM INC	2.0	O
multinational	AMAZON.COM INC	2.0	O
corporations	AMAZON.COM INC	2.0	O
,	AMAZON.COM INC	2.0	O
through	AMAZON.COM INC	2.0	O
which	AMAZON.COM INC	2.0	O
she	AMAZON.COM INC	2.0	O
gained	AMAZON.COM INC	2.0	O
experience	AMAZON.COM INC	2.0	O
with	AMAZON.COM INC	2.0	O
regulatory	AMAZON.COM INC	2.0	O
and	AMAZON.COM INC	2.0	O
compliance	AMAZON.COM INC	2.0	O
requirements	AMAZON.COM INC	2.0	O
applicable	AMAZON.COM INC	2.0	O
to	AMAZON.COM INC	2.0	O
public	AMAZON.COM INC	2.0	O
companies	AMAZON.COM INC	2.0	O
,	AMAZON.COM INC	2.0	O
as	AMAZON.COM INC	2.0	O
well	AMAZON.COM INC	2.0	O
as	AMAZON.COM INC	2.0	O
