Hafize,B-PERSON
Gaye,I-PERSON
Erkan,I-PERSON
-,O
Ms.,O
Erkan,B-PERSON
",",O
40,B-DATE
",",O
is,O
the,O
President,B-TITLE
of,O
First,B-ORG
Republic,I-ORG
Bank,I-ORG
(,O
``,O
First,B-ORG
Republic,I-ORG
'',O
),O
.,O
,
Ms.,O
Erkan,B-PERSON
also,O
became,O
a,O
member,B-TITLE
of,O
the,O
Board,B-ORG
of,I-ORG
Directors,I-ORG
of,O
First,B-ORG
Republic,I-ORG
in,O
2019,B-DATE
.,O
,
Prior,O
to,O
becoming,O
President,B-TITLE
in,O
2017,B-DATE
",",O
she,O
served,O
as,O
Chief,B-TITLE
Investment,I-TITLE
Officer,I-TITLE
and,O
Chief,B-TITLE
Deposit,I-TITLE
Officer,I-TITLE
of,O
First,B-ORG
Republic,I-ORG
from,O
January,B-DATE
2016,I-DATE
to,I-DATE
May,I-DATE
2017,I-DATE
",",O
as,O
Chief,B-TITLE
Investment,I-TITLE
Officer,I-TITLE
from,O
September,B-DATE
to,I-DATE
December,I-DATE
2015,I-DATE
and,O
as,O
Chief,B-TITLE
Investment,I-TITLE
Officer,I-TITLE
and,O
Co-Chief,B-TITLE
Risk,I-TITLE
Officer,I-TITLE
from,O
June,B-DATE
2014,I-DATE
to,I-DATE
August,I-DATE
2015,I-DATE
.,O
,
Prior,O
to,O
First,B-ORG
Republic,I-ORG
",",O
she,O
held,O
the,O
position,O
of,O
Managing,B-TITLE
Director,I-TITLE
and,O
Head,B-TITLE
of,I-TITLE
Financial,I-TITLE
Institutions,I-TITLE
Group,I-TITLE
Strategies,I-TITLE
at,O
Goldman,B-ORG
Sachs,I-ORG
",",O
where,O
she,O
worked,O
in,O
roles,O
of,O
increasing,O
responsibility,O
for,O
nearly,B-DATE
a,I-DATE
decade,I-DATE
",",O
advising,O
boards,O
and,O
executive,O
management,O
of,O
large,O
U.S.,O
banks,O
and,O
insurance,O
companies,O
.,O
,
Ms.,O
Erkan,B-PERSON
holds,O
a,O
B.Sc,O
.,O
